person_in_placeContext	entity ID	placeName as written	_ - id	_ - uri
associatedPlace	000130427	Philadelphia (Pa.)	408	http://geo-kima.org/place/408
associatedPlace	000130427	Leipzig (Germany)	579	http://geo-kima.org/place/579
associatedPlace	000130427	Philadelphia (Pa.)	408	http://geo-kima.org/place/408
associatedPlace	000130961	Athens (Greece)	505	http://geo-kima.org/place/505
associatedPlace	000132265	Jerusalem	691	
associatedPlace	000133417	Jerusalem	691	
associatedPlace	000136271	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000136271	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000139443	Callington (England)	TBA	
associatedPlace	000139443	Castle Rising (England)	TBA	
associatedPlace	000139443	King's Lynn (England)	13652	http://geo-kima.org/place/13652
associatedPlace	000139765	Jerusalem	691	
associatedPlace	000140330	Buenos Aires (Argentina)	510	http://geo-kima.org/place/510
associatedPlace	000140330	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000140330	London (England)	688	http://geo-kima.org/place/688
associatedPlace	000142873	Germany	TBA	
associatedPlace	000143535	France	6399	http://geo-kima.org/place/6399
associatedPlace	000143535	Argentina	7805	http://geo-kima.org/place/7805
associatedPlace	000143535	Spain	6471	http://geo-kima.org/place/6471
associatedPlace	000144226	Jerusalem	691	
associatedPlace	000144226	Tel Aviv (Israel)	272	
associatedPlace	000144367	Holon (Israel)	785	http://geo-kima.org/place/785
associatedPlace	000145191	Jerusalem	691	
associatedPlace	000145816	Allon Shevut (West Bank)	693	http://geo-kima.org/place/693
associatedPlace	000146222	Israel	697	http://geo-kima.org/place/697
associatedPlace	000148088	Vladimir (Vladimirskai︠a︡ oblastʹ, Russia)	10749	http://geo-kima.org/place/10749
associatedPlace	000162952	Palestine	TBA	
associatedPlace	000168886	Ploiești (Romania)	664	http://geo-kima.org/place/664
associatedPlace	000173445	Tucson (Ariz.)	7899	http://geo-kima.org/place/7899
associatedPlace	000174539	Québec (Province)	8719	http://geo-kima.org/place/8719
associatedPlace	000179206	Bergen Belsen (Germany)	22137	http://geo-kima.org/place/22137
associatedPlace	000179342	Los Angeles (Calif.)	154	http://geo-kima.org/place/154
associatedPlace	000182171	Morocco	7791	http://geo-kima.org/place/7791
associatedPlace	000182171	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000182550	Stanford (Calif.)	6874	http://geo-kima.org/place/6874
associatedPlace	000183552	Stellenbosch (South Africa)	7184	http://geo-kima.org/place/7184
associatedPlace	000183815	Baghdad (Iraq)	662	http://geo-kima.org/place/662
associatedPlace	000185076	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000185076	Washington (D.C.)	954	http://geo-kima.org/place/954
associatedPlace	000185659	Cape Cod (Mass.)	1175	http://geo-kima.org/place/1175
associatedPlace	000192829	Sussex (England)	TBA	
associatedPlace	000193382	Giv'at Shemu'el (Israel)	21597	http://geo-kima.org/place/21597
associatedPlace	000194824	Haifa (Israel)	791	http://geo-kima.org/place/791
associatedPlace	000198486	Jerusalem	691	
associatedPlace	000200629	Edinburgh (Scotland)	748	http://geo-kima.org/place/748
associatedPlace	000201677	New Haven (Conn.)	59	http://geo-kima.org/place/59
associatedPlace	000201677	Bellingham (Wash.)	TBA	
associatedPlace	000201677	Albany (N.Y.)	13141	http://geo-kima.org/place/13141
associatedPlace	000206820	Haifa (Israel)	791	http://geo-kima.org/place/791
associatedPlace	000207256	Sarid (Israel)	266	http://geo-kima.org/place/266
associatedPlace	000207256	Gan Shemu'el (Israel)	904	http://geo-kima.org/place/904
associatedPlace	000208503	Bristol (England)	8435	http://geo-kima.org/place/8435
associatedPlace	000211613	Siena (Italy)	6445	http://geo-kima.org/place/6445
associatedPlace	000213971	Colorado Springs (Colo.)	7181	http://geo-kima.org/place/7181
associatedPlace	000216416	Birmingham (England)	7171	http://geo-kima.org/place/7171
associatedPlace	000217590	g,London (England)	TBA	
associatedPlace	000218142	Washington (D.C.)	954	http://geo-kima.org/place/954
associatedPlace	000229858	Ashkelon (Israel)	16888	http://geo-kima.org/place/16888
associatedPlace	000233717	Israel	697	http://geo-kima.org/place/697
associatedPlace	000236385	Short Hills (N.J.)	TBA	
associatedPlace	000237235	Ḳiryat Ono (Israel)	TBA	
associatedPlace	000241408	Princeton (N.J.)	792	http://geo-kima.org/place/792
associatedPlace	000241408	Chicago (Ill.)	282	http://geo-kima.org/place/282
associatedPlace	000245800	Marseille (France)	7085	http://geo-kima.org/place/7085
associatedPlace	000246830	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000249813	Yemen (Republic)	10877	http://geo-kima.org/place/10877
associatedPlace	000257220	London (England)	688	http://geo-kima.org/place/688
associatedPlace	000257220	Oxford (England)	7996	http://geo-kima.org/place/7996
associatedPlace	000257567	g,Białystok (Poland)	TBA	
associatedPlace	000260939	Mar del Plata (Argentina)	6133	http://geo-kima.org/place/6133
associatedPlace	000262428	London (England)	688	http://geo-kima.org/place/688
associatedPlace	000263377	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000273804	Poland	7313	http://geo-kima.org/place/7313
associatedPlace	000276607	Siberia (Russia)	2419	http://geo-kima.org/place/2419
associatedPlace	000276607	Moscow (Russia)	188	http://geo-kima.org/place/188
associatedPlace	000279111	Monmouth (Wales)	12679	http://geo-kima.org/place/12679
associatedPlace	000279373	Manhattan (New York, N.Y.)	9699	http://geo-kima.org/place/9699
associatedPlace	000279399	London (England)	688	http://geo-kima.org/place/688
associatedPlace	000280455	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000281882	Livingston (N.J.)	TBA	
associatedPlace	000282513	United States	6421	http://geo-kima.org/place/6421
associatedPlace	000282797	Beersheba (Israel)	699	http://geo-kima.org/place/699
associatedPlace	000285010	Chicago (Ill.)	282	http://geo-kima.org/place/282
associatedPlace	000288414	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000290159	Berlin (Germany)	578	http://geo-kima.org/place/578
associatedPlace	000291151	Strasbourg (France)	1742	http://geo-kima.org/place/1742
associatedPlace	000291733	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000292276	California	7652	http://geo-kima.org/place/7652
associatedPlace	000304942	Tasmania	7390	http://geo-kima.org/place/7390
associatedPlace	000310521	Cuba	TBA	
associatedPlace	000311754	East Hampton (N.Y.)	9616	http://geo-kima.org/place/9616
associatedPlace	000314996	Dublin (Ireland)	890	http://geo-kima.org/place/890
associatedPlace	000317213	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000320778	Princeton (N.J.)	792	http://geo-kima.org/place/792
associatedPlace	000321208	Jerusalem	691	
associatedPlace	000321208	Potenza (Italy)	14256	http://geo-kima.org/place/14256
associatedPlace	000331424	New Delhi (India)	7581	http://geo-kima.org/place/7581
associatedPlace	000331424	Tokyo (Japan)	7684	http://geo-kima.org/place/7684
associatedPlace	000331424	Middle East	2959	http://geo-kima.org/place/2959
associatedPlace	000331424	Washington (D.C.)	954	http://geo-kima.org/place/954
associatedPlace	000332696	Rumford (Me.)‏	TBA	
associatedPlace	000335381	Senegal	6485	http://geo-kima.org/place/6485
associatedPlace	000335560	Dorset (England)	9497	http://geo-kima.org/place/9497
associatedPlace	000363961	Mashhad (Iran)	7429	http://geo-kima.org/place/7429
associatedPlace	000363961	Israel	697	http://geo-kima.org/place/697
associatedPlace	000369226	Walla Walla (Wash.)	TBA	
associatedPlace	000369529	Jerusalem	691	
associatedPlace	000369534	Boston (Mass.)	516	http://geo-kima.org/place/516
associatedPlace	000369534	Saskatoon (Sask.)	7649	http://geo-kima.org/place/7649
associatedPlace	000369534	Nova Scotia	7221	http://geo-kima.org/place/7221
associatedPlace	000374753	California	7652	http://geo-kima.org/place/7652
associatedPlace	000375457	Valencia (Spain)	6428	http://geo-kima.org/place/6428
associatedPlace	000376396	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000376396	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000377000	Fès (Morocco)	TBA	
associatedPlace	000377261	Ashdod (Israel)	531	http://geo-kima.org/place/531
associatedPlace	000381939	Ayyelet Hashahar (Israel)	713	http://geo-kima.org/place/713
associatedPlace	000383239	Rishpon (Israel)	375	http://geo-kima.org/place/375
associatedPlace	000383239	Ra'ananna (Israel)	376	http://geo-kima.org/place/376
associatedPlace	000383622	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000391118	Ann Arbor (Mich.)	6272	http://geo-kima.org/place/6272
associatedPlace	000391540	Collegeville (Pa.)	TBA	
associatedPlace	000394731	Kaunas (Lithuania)	382	http://geo-kima.org/place/382
associatedPlace	000394731	South America	2395	http://geo-kima.org/place/2395
associatedPlace	000395382	Madrid (Spain)	646	http://geo-kima.org/place/646
associatedPlace	000400304	San Francisco (Calif.)	6462	http://geo-kima.org/place/6462
associatedPlace	000401227	Los Angeles (Calif.)	154	http://geo-kima.org/place/154
associatedPlace	000419428	Boston (Mass.)	516	http://geo-kima.org/place/516
associatedPlace	000421973	N.Y.	TBA	
associatedPlace	000429795	Sydney (N.S.W.)	100	http://geo-kima.org/place/100
associatedPlace	000432603	Southwest, New	2438	http://geo-kima.org/place/2438
associatedPlace	000433813	Tucson (Ariz.)	7899	http://geo-kima.org/place/7899
associatedPlace	000433813	Washington (D.C.)	954	http://geo-kima.org/place/954
associatedPlace	000444325	Atlanta (Ga.)	711	http://geo-kima.org/place/711
associatedPlace	000450783	Stanford (Calif.)	6874	http://geo-kima.org/place/6874
associatedPlace	000451862	Cambridge (England)	438	http://geo-kima.org/place/438
associatedPlace	000468480	Sydney (N.S.W.)	100	http://geo-kima.org/place/100
associatedPlace	000479085	San Francisco (Calif.)	6462	http://geo-kima.org/place/6462
associatedPlace	000479085	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000506246	Terre Haute (Ind.)	8999	http://geo-kima.org/place/8999
associatedPlace	000506246	Chicago (Ill.)	282	http://geo-kima.org/place/282
associatedPlace	000506246	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	000518787	Swabia (Germany)	2454	http://geo-kima.org/place/2454
associatedPlace	000518787	Jerusalem	691	
associatedPlace	000518787	Sicily (Italy)	6284	http://geo-kima.org/place/6284
associatedPlace	000523766	Rome	7637	http://geo-kima.org/place/7637
associatedPlace	000528997	Mikhlelet Leṿinsḳi le-ḥinukh (Israel)	TBA	
associatedPlace	000528997	Oranim, ha-mikhlalah ha-aḳademit le-ḥinukh	TBA	
associatedPlace	000534122	Tsefat (Israel)	377	http://geo-kima.org/place/377
associatedPlace	000549597	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	000559816	Jerusalem	691	
associatedPlace	000559816	Munich (Germany)	234	http://geo-kima.org/place/234
associatedPlace	000562513	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000562618	Salt Lake City (Utah)	7578	http://geo-kima.org/place/7578
associatedPlace	000562987	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	000563194	Tucson (Ariz.)	7899	http://geo-kima.org/place/7899
associatedPlace	000563401	En Hod (Israel)	18441	http://geo-kima.org/place/18441
associatedPlace	000563705	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000563705	Dublin (Ireland)	890	http://geo-kima.org/place/890
associatedPlace	000565075	California, Southern	1159	http://geo-kima.org/place/1159
associatedPlace	000566641	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000567020	g,Budapest (Hungary)	TBA	
associatedPlace	000567599	Nunda Township, Ill.	TBA	
associatedPlace	000614915	Idaho	9096	http://geo-kima.org/place/9096
associatedPlace	000626999	Gush Katif (Gaza Strip)	21647	http://geo-kima.org/place/21647
associatedPlace	000627762	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	000627967	Riverdale (New York, N.Y.)	8212	http://geo-kima.org/place/8212
associatedPlace	000628520	Devon (England)	7248	http://geo-kima.org/place/7248
associatedPlace	000630781	Tel Aviv (Israel)	272	
associatedPlace	000687504	Orkney (Scotland)	10501	http://geo-kima.org/place/10501
associatedPlace	000708907	Scandinavia	2075	http://geo-kima.org/place/2075
associatedPlace	001393252	Berkeley (Calif.)	583	http://geo-kima.org/place/583
associatedPlace	001394279	Betar Illit (West Bank)	TBA	
associatedPlace	001396487	Ma'ale Hahamisha (Israel)	194	http://geo-kima.org/place/194
associatedPlace	001398818	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	001401438	Arkansas	7668	http://geo-kima.org/place/7668
associatedPlace	001403895	Jerusalem	691	
associatedPlace	001407632	Ramat Gan (Israel)	777	http://geo-kima.org/place/777
associatedPlace	001411589	Alabama	536	http://geo-kima.org/place/536
associatedPlace	001411815	Tel Aviv (Israel)	272	
associatedPlace	001414861	Temple City (Calif.)	11422	http://geo-kima.org/place/11422
associatedPlace	001424372	Jerusalem	691	
associatedPlace	001424924	Nazareth (Israel)	18	http://geo-kima.org/place/18
associatedPlace	001425084	Tallahassee (Fla.)	7388	http://geo-kima.org/place/7388
associatedPlace	001425166	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	001427034	Rīga (Latvia)	TBA	
associatedPlace	001428048	Shanghai (China)	254	http://geo-kima.org/place/254
associatedPlace	001428313	Minneapolis (Minn.)	232	http://geo-kima.org/place/232
associatedPlace	001438770	San Francisco (Calif.)	6462	http://geo-kima.org/place/6462
associatedPlace	001439780	Soviet Union	9562	http://geo-kima.org/place/9562
associatedPlace	001439780	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	001441644	Rome (Italy)	440	http://geo-kima.org/place/440
associatedPlace	001442850	Sweden	6303	http://geo-kima.org/place/6303
associatedPlace	001442850	Oslo (Norway)	6295	http://geo-kima.org/place/6295
associatedPlace	001444067	Dallas (Pa.)	TBA	
associatedPlace	001444249	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	001446885	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	001448857	Odesa (Ukraine)	740	http://geo-kima.org/place/740
associatedPlace	001448857	Paris (France)	419	http://geo-kima.org/place/419
associatedPlace	001448857	Jerusalem (Israel)	691	http://geo-kima.org/place/691
associatedPlace	001448857	Saint Petersburg (Russia)	678	http://geo-kima.org/place/678
associatedPlace	001448857	Tel Aviv-Yafo (Israel)	272	http://geo-kima.org/place/272
associatedPlace	001452900	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	001452900	Vienna (Austria)	945	http://geo-kima.org/place/945
associatedPlace	001457461	Legnica (Poland)	7312	http://geo-kima.org/place/7312
associatedPlace	001459662	g,Minsk (Belarus)	TBA	
associatedPlace	001460166	India	9527	http://geo-kima.org/place/9527
associatedPlace	001462341	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	001463901	Westchester (N.Y.)	TBA	
associatedPlace	001466762	Haifa (Israel)	791	http://geo-kima.org/place/791
associatedPlace	001470368	Northampton (Mass.)	7238	http://geo-kima.org/place/7238
associatedPlace	001473044	Nahal Oz (Israel)	52	http://geo-kima.org/place/52
associatedPlace	001473188	Macomb (Ill.)	TBA	
associatedPlace	001473233	Zagreb, Yugoslavia	TBA	
associatedPlace	001476805	Saint Petersburg (Russia)	678	http://geo-kima.org/place/678
associatedPlace	001478253	Alabama	536	http://geo-kima.org/place/536
associatedPlace	001671579	Be'er Ya'akov (Israel)	17274	http://geo-kima.org/place/17274
associatedPlace	001673739	Syria	8048	http://geo-kima.org/place/8048
associatedPlace	001681122	Barcelona (Spain)	582	http://geo-kima.org/place/582
associatedPlace	001683027	Sydney (N.S.W.)	100	http://geo-kima.org/place/100
associatedPlace	001683027	New York (N.Y.)	32	http://geo-kima.org/place/32
associatedPlace	001686015	Beersheba (Israel)	699	http://geo-kima.org/place/699
associatedPlace	001686186	California	7652	http://geo-kima.org/place/7652
associatedPlace	001693356	Bresso (Italy)	TBA	
associatedPlace	001693356	Milan (Italy)	231	http://geo-kima.org/place/231
associatedPlace	001695500	Ramat Gan (Israel)	777	http://geo-kima.org/place/777
associatedPlace	001696178	Tel Aviv (Israel)	272	
associatedPlace	001701597	Berlin (Germany)	578	http://geo-kima.org/place/578
associatedPlace	001701597	Moscow (Russia)	188	http://geo-kima.org/place/188
associatedPlace	001702561	Bet Hashitta (Israel)	597	http://geo-kima.org/place/597
associatedPlace	001702569	Birobidzhan (Russia)	6905	http://geo-kima.org/place/6905
associatedPlace	001707790	Baden-Württemberg (Germany)	TBA	
associatedPlace	001707790	Korea (South)	7299	http://geo-kima.org/place/7299
associatedPlace	001707790	Europe, Eastern	1414	http://geo-kima.org/place/1414
associatedPlace	001708212	London (England)	688	http://geo-kima.org/place/688
associatedPlace	001708212	Letchworth (England)	9361	http://geo-kima.org/place/9361
associatedPlace	001713156	Sarid (Israel)	266	http://geo-kima.org/place/266
associatedPlace	001713161	Bet Shemesh (Israel)	614	http://geo-kima.org/place/614
associatedPlace	001713212	France	6399	http://geo-kima.org/place/6399
associatedPlace	001713232	Kefar Szold (Israel)	840	http://geo-kima.org/place/840
associatedPlace	001713244	Bulgaria	9368	http://geo-kima.org/place/9368
associatedPlace	001713276	Germany	TBA	
associatedPlace	001713305	Israel	697	http://geo-kima.org/place/697
associatedPlace	001713309	France	6399	http://geo-kima.org/place/6399
associatedPlace	001715114	Rishon Letsiyon (Israel)	493	http://geo-kima.org/place/493
associatedPlace	001717088	Neve Etan (Israel)	45	http://geo-kima.org/place/45
associatedPlace	001717339	Ramat Hakovesh (Israel)	459	http://geo-kima.org/place/459
associatedPlace	001717953	Beersheba (Israel)	699	http://geo-kima.org/place/699
associatedPlace	001723736	Toronto (Ont.)	753	http://geo-kima.org/place/753
associatedPlace	001725659	Sydney (N.S.W.)	100	http://geo-kima.org/place/100
associatedPlace	001727179	Jerusalem	691	
associatedPlace	001727179	Bloomington (Ind.)	9926	http://geo-kima.org/place/9926
associatedPlace	001727503	Haifa (Israel)	791	http://geo-kima.org/place/791
associatedPlace	001727503	Acre (Israel)	71	http://geo-kima.org/place/71
associatedPlace	001735854	g,Jerusalem	TBA	
associatedPlace	001770985	Montreat (N.C.)	TBA	
